""	"Theta"	"DeltaD"	"DeltaS"	"Lambda"	"Rho"	"LogLik"	Sample
"65%"	0.0359839743675527	0.039507123036904	3.77002169020503e-07	0.0845076806055753	0.407639063588821	59652.5345301057	507264
"67.5%"	0.0359845258821192	0.0395091523760519	4.05086132510266e-07	0.0845286213868454	0.407646815597235	59652.6269409963	507264
"70%"	0.0359850954992853	0.0395111054748887	4.35334514213968e-07	0.0845510924216398	0.407654510617731	59652.7219086497	507264
"72.5%"	0.0359855642924193	0.0395130860894101	4.51900759419369e-07	0.0845726565443199	0.407662309698041	59652.8170884876	507264
"75%"	0.0359861844177963	0.039515132481045	4.8335093427346e-07	0.0845886253731502	0.407670596799643	59652.9083142972	507264
"77.5%"	0.0359868515548258	0.0395175404606463	5.08872137549379e-07	0.0846114196256866	0.40767972247064	59652.9994348539	507264
"80%"	0.0359876474314062	0.0395200052071108	5.49889943818077e-07	0.084631867801186	0.407689399872773	59653.0911329204	507264
"82.5%"	0.0359883681427343	0.0395229639080909	6.06731659558808e-07	0.084663419584463	0.407700556290304	59653.1989667341	507264
"85%"	0.0359891710122779	0.039525585547169	6.72141935909703e-07	0.0846896417432412	0.407712764269185	59653.2999257464	507264
"87.5%"	0.0359901423279401	0.0395292877400982	7.45641747800991e-07	0.084725442177674	0.407726691221699	59653.4156539245	507264
"90%"	0.0359911760378861	0.0395326081609465	8.41975494579649e-07	0.0847576099899041	0.407741914960488	59653.5377666054	507264
"92.5%"	0.0359923410629521	0.0395373465915296	9.33999233632445e-07	0.0848020542961452	0.407762132859731	59653.666826956	507264
"95%"	0.0359938663064933	0.0395429674593479	1.03148863785118e-06	0.0848730878189715	0.407783671346349	59653.8401195842	507264
"97.5%"	0.035995985243745	0.039551607054369	1.21188951694119e-06	0.0849616629795635	0.407822824321595	59654.0563885815	507264
"100%"	0.0360161663248806	0.0396012534545002	2.75660231844684e-06	0.085441119423825	0.408031807364433	59654.6439380664	507264
